"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/11/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/11/2024";"0100";"30,1";"30,6";"30,1";"51,0";"52,0";"49,0";"18,9";"19,1";"18,7";"985,7";"985,7";"984,6";"1,4";"93,0";"4,2";"";"0,0"
"01/11/2024";"0200";"30,1";"30,6";"30,0";"52,0";"52,0";"50,0";"19,2";"19,2";"18,9";"986,8";"986,8";"985,7";"2,2";"52,0";"4,7";"";"0,0"
"01/11/2024";"0300";"29,7";"30,1";"29,7";"54,0";"54,0";"52,0";"19,4";"19,5";"19,1";"986,4";"986,8";"986,4";"1,7";"43,0";"5,6";"";"0,0"
"01/11/2024";"0400";"29,5";"29,8";"29,4";"54,0";"55,0";"54,0";"19,3";"19,5";"19,3";"986,0";"986,4";"986,0";"1,9";"41,0";"5,3";"";"0,0"
"01/11/2024";"0500";"29,5";"29,5";"29,4";"53,0";"54,0";"53,0";"19,0";"19,3";"18,8";"986,0";"986,1";"985,9";"2,0";"22,0";"6,1";"";"0,0"
"01/11/2024";"0600";"29,1";"29,5";"29,1";"56,0";"56,0";"53,0";"19,4";"19,4";"19,0";"985,9";"986,1";"985,9";"1,8";"5,0";"5,3";"";"0,0"
"01/11/2024";"0700";"28,9";"29,1";"28,8";"57,0";"57,0";"56,0";"19,4";"19,5";"19,4";"985,4";"985,9";"985,4";"1,6";"20,0";"4,1";"";"0,0"
"01/11/2024";"0800";"28,6";"28,9";"28,6";"58,0";"58,0";"57,0";"19,5";"19,5";"19,4";"985,6";"985,6";"985,3";"2,1";"23,0";"3,9";"";"0,0"
"01/11/2024";"0900";"28,3";"28,6";"28,3";"60,0";"60,0";"58,0";"19,7";"19,7";"19,5";"985,6";"985,7";"985,4";"2,3";"39,0";"9,5";"";"0,0"
"01/11/2024";"1000";"28,1";"28,3";"28,0";"62,0";"62,0";"60,0";"20,2";"20,2";"19,7";"986,6";"986,6";"985,6";"2,9";"26,0";"7,3";"115,00";"0,0"
"01/11/2024";"1100";"28,5";"28,5";"28,1";"61,0";"63,0";"61,0";"20,3";"20,4";"20,2";"987,8";"987,8";"986,6";"3,8";"33,0";"9,6";"412,70";"0,0"
"01/11/2024";"1200";"29,8";"30,1";"28,5";"57,0";"61,0";"56,0";"20,4";"20,7";"20,1";"988,3";"988,4";"987,8";"3,6";"36,0";"9,6";"1430,80";"0,0"
"01/11/2024";"1300";"31,0";"31,3";"29,4";"52,0";"57,0";"52,0";"20,0";"20,6";"19,8";"988,9";"988,9";"988,3";"2,4";"27,0";"8,6";"2024,80";"0,0"
"01/11/2024";"1400";"28,8";"31,6";"28,8";"62,0";"62,0";"50,0";"20,9";"20,9";"19,4";"989,4";"989,5";"988,9";"4,1";"61,0";"8,6";"1245,50";"0,0"
"01/11/2024";"1500";"31,8";"32,9";"28,6";"49,0";"66,0";"46,0";"19,7";"22,2";"19,1";"988,7";"989,4";"988,7";"2,7";"43,0";"8,6";"2547,50";"0,0"
